DATE,BAMLC0A1CAAAEY,BAMLC0A4CBBBEY
2005-01-03,4.29,5.08
2005-01-04,4.36,5.14
2005-01-05,4.37,5.15
2005-01-06,4.36,5.16
2005-01-07,4.38,5.17
2005-01-10,4.38,5.17
2005-01-11,4.36,5.15
2005-01-12,4.35,5.14
2005-01-13,4.31,5.10
2005-01-14,4.35,5.14
2005-01-17,4.34,5.13
2005-01-18,4.34,5.13
2005-01-19,4.34,5.13
2005-01-20,4.31,5.13
2005-01-21,4.28,5.11
2005-01-24,4.28,5.08
2005-01-25,4.33,5.12
2005-01-26,4.34,5.12
2005-01-27,4.35,5.13
2005-01-28,4.30,5.08
2005-01-31,4.34,5.11
2005-02-01,4.34,5.10
2005-02-02,4.35,5.10
2005-02-03,4.37,5.12
2005-02-04,4.30,5.03
2005-02-07,4.29,5.01
2005-02-08,4.29,5.00
2005-02-09,4.24,4.96
2005-02-10,4.29,5.03
2005-02-11,4.33,5.06
2005-02-14,4.32,5.04
2005-02-15,4.34,5.06
2005-02-16,4.39,5.11
2005-02-17,4.40,5.12
2005-02-18,4.45,5.18
2005-02-21,4.45,5.18
2005-02-22,4.47,5.20
2005-02-23,4.46,5.19
2005-02-24,4.48,5.20
2005-02-25,4.48,5.20
2005-02-28,4.57,5.30
2005-03-01,4.57,5.30
2005-03-02,4.57,5.31
2005-03-03,4.58,5.31
2005-03-04,4.53,5.26
2005-03-07,4.53,5.26
2005-03-08,4.58,5.32
2005-03-09,4.67,5.42
2005-03-10,4.65,5.39
2005-03-11,4.72,5.46
2005-03-14,4.71,5.46
2005-03-15,4.72,5.48
2005-03-16,4.72,5.51
2005-03-17,4.68,5.50
2005-03-18,4.71,5.54
2005-03-21,4.72,5.60
2005-03-22,4.80,5.70
2005-03-23,4.83,5.72
2005-03-24,4.83,5.69
2005-03-25,.,.
2005-03-28,4.86,5.72
2005-03-29,4.83,5.72
2005-03-30,4.81,5.70
2005-03-31,4.82,5.68
2005-04-01,4.77,5.65
2005-04-04,4.79,5.67
2005-04-05,4.79,5.69
2005-04-06,4.76,5.64
2005-04-07,4.80,5.68
2005-04-08,4.82,5.70
2005-04-11,4.80,5.74
2005-04-12,4.73,5.66
2005-04-13,4.73,5.68
2005-04-14,4.70,5.70
2005-04-15,4.64,5.67
2005-04-18,4.62,5.69
2005-04-19,4.57,5.63
2005-04-20,4.58,5.60
2005-04-21,4.68,5.65
2005-04-22,4.64,5.58
2005-04-25,4.65,5.60
2005-04-26,4.66,5.63
2005-04-27,4.63,5.60
2005-04-28,4.57,5.55
2005-04-29,4.62,5.60
2005-04-30,4.62,5.62
2005-05-02,4.61,5.61
2005-05-03,4.63,5.63
2005-05-04,4.61,5.59
2005-05-05,4.57,5.61
2005-05-06,4.69,5.78
2005-05-09,4.71,5.77
2005-05-10,4.65,5.72
2005-05-11,4.64,5.72
2005-05-12,4.62,5.71
2005-05-13,4.58,5.70
2005-05-16,4.57,5.71
2005-05-17,4.57,5.72
2005-05-18,4.53,5.68
2005-05-19,4.58,5.70
2005-05-20,4.60,5.70
2005-05-23,4.55,5.63
2005-05-24,4.52,5.62
2005-05-25,4.54,5.61
2005-05-26,4.56,5.59
2005-05-27,4.56,5.55
2005-05-30,4.56,5.55
2005-05-31,4.49,5.30
2005-06-01,4.38,5.20
2005-06-02,4.38,5.15
2005-06-03,4.46,5.22
2005-06-06,4.44,5.21
2005-06-07,4.40,5.16
2005-06-08,4.44,5.20
2005-06-09,4.48,5.24
2005-06-10,4.55,5.32
2005-06-13,4.57,5.34
2005-06-14,4.60,5.36
2005-06-15,4.59,5.35
2005-06-16,4.56,5.32
2005-06-17,4.57,5.33
2005-06-20,4.58,5.34
2005-06-21,4.54,5.30
2005-06-22,4.44,5.23
2005-06-23,4.46,5.25
2005-06-24,4.42,5.22
2005-06-27,4.40,5.20
2005-06-28,4.47,5.25
2005-06-29,4.49,5.27
2005-06-30,4.47,5.24
2005-07-01,4.56,5.32
2005-07-04,4.56,5.32
2005-07-05,4.61,5.38
2005-07-06,4.58,5.36
2005-07-07,4.55,5.32
2005-07-08,4.62,5.38
2005-07-11,4.61,5.36
2005-07-12,4.65,5.39
2005-07-13,4.66,5.41
2005-07-14,4.67,5.41
2005-07-15,4.67,5.40
2005-07-18,4.70,5.43
2005-07-19,4.67,5.40
2005-07-20,4.66,5.38
2005-07-21,4.74,5.47
2005-07-22,4.70,5.42
2005-07-25,4.73,5.44
2005-07-26,4.73,5.43
2005-07-27,4.76,5.45
2005-07-28,4.71,5.38
2005-07-29,4.79,5.45
2005-07-31,4.79,5.47
2005-08-01,4.82,5.49
2005-08-02,4.83,5.51
2005-08-03,4.80,5.48
2005-08-04,4.82,5.50
2005-08-05,4.89,5.58
2005-08-08,4.92,5.61
2005-08-09,4.90,5.59
2005-08-10,4.90,5.58
2005-08-11,4.85,5.54
2005-08-12,4.78,5.47
2005-08-15,4.80,5.49
2005-08-16,4.76,5.44
2005-08-17,4.79,5.48
2005-08-18,4.74,5.43
2005-08-19,4.74,5.42
2005-08-22,4.74,5.42
2005-08-23,4.72,5.39
2005-08-24,4.71,5.39
2005-08-25,4.70,5.37
2005-08-26,4.74,5.41
2005-08-29,4.73,5.40
2005-08-30,4.64,5.32
2005-08-31,4.57,5.22
2005-09-01,4.52,5.20
2005-09-02,4.54,5.22
2005-09-05,4.53,5.22
2005-09-06,4.58,5.28
2005-09-07,4.63,5.33
2005-09-08,4.65,5.34
2005-09-09,4.64,5.33
2005-09-12,4.68,5.36
2005-09-13,4.64,5.33
2005-09-14,4.67,5.35
2005-09-15,4.70,5.39
2005-09-16,4.74,5.44
2005-09-19,4.72,5.43
2005-09-20,4.75,5.45
2005-09-21,4.71,5.41
2005-09-22,4.69,5.41
2005-09-23,4.76,5.47
2005-09-26,4.80,5.50
2005-09-27,4.82,5.52
2005-09-28,4.80,5.49
2005-09-29,4.82,5.52
2005-09-30,4.88,5.58
2005-10-03,4.92,5.62
2005-10-04,4.92,5.61
2005-10-05,4.91,5.60
2005-10-06,4.90,5.61
2005-10-07,4.90,5.61
2005-10-10,4.90,5.60
2005-10-11,4.92,5.64
2005-10-12,4.97,5.72
2005-10-13,4.99,5.76
2005-10-14,5.01,5.78
2005-10-17,5.01,5.75
2005-10-18,5.00,5.72
2005-10-19,4.98,5.71
2005-10-20,4.99,5.71
2005-10-21,4.93,5.64
2005-10-24,4.98,5.69
2005-10-25,5.04,5.75
2005-10-26,5.12,5.84
2005-10-27,5.09,5.82
2005-10-28,5.11,5.84
2005-10-31,5.11,5.85
2005-11-01,5.13,5.87
2005-11-02,5.15,5.90
2005-11-03,5.19,5.93
2005-11-04,5.20,5.95
2005-11-07,5.19,5.93
2005-11-08,5.14,5.88
2005-11-09,5.20,5.95
2005-11-10,5.14,5.89
2005-11-11,5.14,5.89
2005-11-14,5.19,5.95
2005-11-15,5.15,5.91
2005-11-16,5.09,5.87
2005-11-17,5.05,5.86
2005-11-18,5.09,5.88
2005-11-21,5.06,5.84
2005-11-22,5.01,5.80
2005-11-23,5.05,5.86
2005-11-24,5.06,5.86
2005-11-25,5.02,5.82
2005-11-28,5.00,5.80
2005-11-29,5.08,5.86
2005-11-30,5.11,5.90
2005-12-01,5.14,5.93
2005-12-02,5.14,5.93
2005-12-05,5.17,5.98
2005-12-06,5.11,5.92
2005-12-07,5.12,5.95
2005-12-08,5.07,5.89
2005-12-09,5.14,5.95
2005-12-12,5.15,5.95
2005-12-13,5.14,5.94
2005-12-14,5.06,5.87
2005-12-15,5.07,5.88
2005-12-16,5.06,5.86
2005-12-19,5.07,5.86
2005-12-20,5.09,5.90
2005-12-21,5.11,5.92
2005-12-22,5.07,5.87
2005-12-23,5.03,5.82
2005-12-26,.,.
2005-12-27,5.00,5.79
2005-12-28,5.03,5.82
2005-12-29,5.03,5.83
2005-12-30,5.06,5.85
2005-12-31,5.05,5.66
2006-01-02,.,.
2006-01-03,5.01,5.62
2006-01-04,4.99,5.61
2006-01-05,4.99,5.61
2006-01-06,5.02,5.63
2006-01-09,5.02,5.63
2006-01-10,5.06,5.68
2006-01-11,5.09,5.71
2006-01-12,5.05,5.66
2006-01-13,5.00,5.61
2006-01-16,5.00,5.60
2006-01-17,4.98,5.58
2006-01-18,4.99,5.59
2006-01-19,5.03,5.63
2006-01-20,5.01,5.61
2006-01-23,5.00,5.60
2006-01-24,5.03,5.63
2006-01-25,5.10,5.70
2006-01-26,5.14,5.74
2006-01-27,5.13,5.72
2006-01-30,5.16,5.75
2006-01-31,5.16,5.74
2006-02-01,5.20,5.77
2006-02-02,5.20,5.77
2006-02-03,5.19,5.75
2006-02-06,5.20,5.76
2006-02-07,5.21,5.77
2006-02-08,5.24,5.80
2006-02-09,5.24,5.78
2006-02-10,5.27,5.82
2006-02-13,5.26,5.81
2006-02-14,5.28,5.83
2006-02-15,5.28,5.82
2006-02-16,5.27,5.81
2006-02-17,5.23,5.76
2006-02-20,5.23,5.76
2006-02-21,5.26,5.78
2006-02-22,5.24,5.75
2006-02-23,5.28,5.78
2006-02-24,5.27,5.79
2006-02-27,5.29,5.80
2006-02-28,5.25,5.78
2006-03-01,5.28,5.81
2006-03-02,5.31,5.85
2006-03-03,5.35,5.90
2006-03-06,5.39,5.94
2006-03-07,5.39,5.94
2006-03-08,5.38,5.94
2006-03-09,5.37,5.94
2006-03-10,5.39,5.96
2006-03-13,5.41,5.98
2006-03-14,5.33,5.90
2006-03-15,5.34,5.92
2006-03-16,5.27,5.84
2006-03-17,5.29,5.85
2006-03-20,5.27,5.84
2006-03-21,5.34,5.90
2006-03-22,5.34,5.90
2006-03-23,5.37,5.93
2006-03-24,5.31,5.88
2006-03-27,5.34,5.90
2006-03-28,5.41,5.98
2006-03-29,5.43,6.01
2006-03-30,5.47,6.05
2006-03-31,5.48,6.07
2006-04-03,5.50,6.08
2006-04-04,5.48,6.07
2006-04-05,5.45,6.04
2006-04-06,5.49,6.09
2006-04-07,5.55,6.15
2006-04-10,5.55,6.15
2006-04-11,5.52,6.12
2006-04-12,5.56,6.16
2006-04-13,5.61,6.21
2006-04-14,.,.
2006-04-17,5.58,6.18
2006-04-18,5.54,6.14
2006-04-19,5.57,6.18
2006-04-20,5.58,6.18
2006-04-21,5.58,6.17
2006-04-24,5.55,6.14
2006-04-25,5.62,6.21
2006-04-26,5.66,6.24
2006-04-27,5.61,6.20
2006-04-28,5.58,6.17
2006-04-30,5.59,6.18
2006-05-01,5.64,6.23
2006-05-02,5.63,6.21
2006-05-03,5.66,6.23
2006-05-04,5.67,6.24
2006-05-05,5.64,6.21
2006-05-08,5.65,6.22
2006-05-09,5.66,6.22
2006-05-10,5.67,6.23
2006-05-11,5.68,6.25
2006-05-12,5.71,6.29
2006-05-15,5.68,6.26
2006-05-16,5.64,6.22
2006-05-17,5.69,6.28
2006-05-18,5.63,6.21
2006-05-19,5.63,6.20
2006-05-22,5.61,6.19
2006-05-23,5.64,6.22
2006-05-24,5.61,6.20
2006-05-25,5.64,6.24
2006-05-26,5.62,6.22
2006-05-29,5.62,6.22
2006-05-30,5.65,6.26
2006-05-31,5.70,6.33
2006-06-01,5.69,6.32
2006-06-02,5.58,6.21
2006-06-05,5.62,6.25
2006-06-06,5.61,6.25
2006-06-07,5.64,6.27
2006-06-08,5.62,6.25
2006-06-09,5.62,6.24
2006-06-12,5.63,6.25
2006-06-13,5.61,6.23
2006-06-14,5.70,6.33
2006-06-15,5.74,6.38
2006-06-16,5.76,6.40
2006-06-19,5.79,6.42
2006-06-20,5.80,6.44
2006-06-21,5.80,6.44
2006-06-22,5.84,6.49
2006-06-23,5.86,6.52
2006-06-26,5.88,6.54
2006-06-27,5.85,6.51
2006-06-28,5.89,6.55
2006-06-29,5.83,6.50
2006-06-30,5.78,6.44
2006-07-03,5.79,6.44
2006-07-04,5.79,6.44
2006-07-05,5.86,6.51
2006-07-06,5.82,6.48
2006-07-07,5.78,6.43
2006-07-10,5.77,6.42
2006-07-11,5.75,6.40
2006-07-12,5.75,6.40
2006-07-13,5.72,6.37
2006-07-14,5.70,6.37
2006-07-17,5.71,6.38
2006-07-18,5.77,6.44
2006-07-19,5.70,6.37
2006-07-20,5.67,6.33
2006-07-21,5.68,6.34
2006-07-24,5.68,6.34
2006-07-25,5.71,6.37
2006-07-26,5.67,6.33
2006-07-27,5.67,6.33
2006-07-28,5.62,6.27
2006-07-31,5.61,6.27
2006-08-01,5.60,6.26
2006-08-02,5.59,6.25
2006-08-03,5.59,6.24
2006-08-04,5.54,6.19
2006-08-07,5.56,6.21
2006-08-08,5.55,6.21
2006-08-09,5.55,6.22
2006-08-10,5.56,6.23
2006-08-11,5.61,6.27
2006-08-14,5.64,6.29
2006-08-15,5.57,6.22
2006-08-16,5.51,6.17
2006-08-17,5.51,6.17
2006-08-18,5.48,6.14
2006-08-21,5.46,6.12
2006-08-22,5.46,6.12
2006-08-23,5.47,6.13
2006-08-24,5.47,6.12
2006-08-25,5.45,6.11
2006-08-28,5.46,6.12
2006-08-29,5.45,6.11
2006-08-30,5.42,6.08
2006-08-31,5.39,6.06
2006-09-01,5.37,6.04
2006-09-04,5.38,6.04
2006-09-05,5.42,6.09
2006-09-06,5.44,6.11
2006-09-07,5.43,6.10
2006-09-08,5.40,6.07
2006-09-11,5.44,6.10
2006-09-12,5.41,6.08
2006-09-13,5.40,6.07
2006-09-14,5.43,6.09
2006-09-15,5.44,6.10
2006-09-18,5.46,6.11
2006-09-19,5.39,6.04
2006-09-20,5.38,6.04
2006-09-21,5.30,5.96
2006-09-22,5.26,5.92
2006-09-25,5.22,5.88
2006-09-26,5.25,5.91
2006-09-27,5.25,5.92
2006-09-28,5.28,5.95
2006-09-29,5.29,5.95
2006-09-30,5.28,5.96
2006-10-02,5.26,5.94
2006-10-03,5.26,5.94
2006-10-04,5.20,5.89
2006-10-05,5.25,5.93
2006-10-06,5.34,6.02
2006-10-09,5.34,6.02
2006-10-10,5.39,6.07
2006-10-11,5.43,6.11
2006-10-12,5.42,6.10
2006-10-13,5.45,6.12
2006-10-16,5.43,6.10
2006-10-17,5.42,6.08
2006-10-18,5.41,6.07
2006-10-19,5.43,6.09
2006-10-20,5.43,6.08
2006-10-23,5.47,6.12
2006-10-24,5.48,6.12
2006-10-25,5.43,6.08
2006-10-26,5.37,6.02
2006-10-27,5.33,5.98
2006-10-30,5.33,5.97
2006-10-31,5.26,5.91
2006-11-01,5.21,5.85
2006-11-02,5.24,5.88
2006-11-03,5.36,5.99
2006-11-06,5.36,5.98
2006-11-07,5.31,5.93
2006-11-08,5.28,5.90
2006-11-09,5.28,5.90
2006-11-10,5.25,5.86
2006-11-13,5.27,5.87
2006-11-14,5.24,5.84
2006-11-15,5.29,5.90
2006-11-16,5.33,5.93
2006-11-17,5.27,5.88
2006-11-20,5.26,5.87
2006-11-21,5.25,5.85
2006-11-22,5.24,5.84
2006-11-23,5.24,5.84
2006-11-24,5.22,5.82
2006-11-27,5.21,5.81
2006-11-28,5.18,5.79
2006-11-29,5.19,5.80
2006-11-30,5.12,5.75
2006-12-01,5.07,5.71
2006-12-04,5.06,5.71
2006-12-05,5.06,5.71
2006-12-06,5.11,5.75
2006-12-07,5.11,5.74
2006-12-08,5.18,5.81
2006-12-11,5.16,5.78
2006-12-12,5.13,5.76
2006-12-13,5.21,5.84
2006-12-14,5.24,5.87
2006-12-15,5.24,5.87
2006-12-18,5.23,5.86
2006-12-19,5.24,5.87
2006-12-20,5.23,5.86
2006-12-21,5.18,5.82
2006-12-22,5.25,5.89
2006-12-25,.,.
2006-12-26,5.24,5.87
2006-12-27,5.29,5.92
2006-12-28,5.32,5.95
2006-12-29,5.33,5.96
2006-12-31,5.34,5.98
2007-01-01,.,.
2007-01-02,5.32,5.95
2007-01-03,5.29,5.93
2007-01-04,5.24,5.88
2007-01-05,5.27,5.91
2007-01-08,5.28,5.92
2007-01-09,5.28,5.91
2007-01-10,5.30,5.94
2007-01-11,5.35,5.98
2007-01-12,5.38,6.01
2007-01-15,5.38,6.01
2007-01-16,5.37,5.99
2007-01-17,5.40,6.02
2007-01-18,5.38,5.99
2007-01-19,5.40,6.01
2007-01-22,5.39,5.99
2007-01-23,5.42,6.03
2007-01-24,5.43,6.02
2007-01-25,5.47,6.07
2007-01-26,5.49,6.08
2007-01-29,5.49,6.09
2007-01-30,5.48,6.08
2007-01-31,5.44,6.04
2007-02-01,5.45,6.04
2007-02-02,5.44,6.03
2007-02-05,5.42,6.01
2007-02-06,5.38,5.97
2007-02-07,5.36,5.94
2007-02-08,5.35,5.93
2007-02-09,5.40,5.98
2007-02-12,5.42,6.00
2007-02-13,5.43,6.01
2007-02-14,5.35,5.93
2007-02-15,5.32,5.90
2007-02-16,5.31,5.88
2007-02-19,5.30,5.88
2007-02-20,5.30,5.86
2007-02-21,5.31,5.87
2007-02-22,5.35,5.91
2007-02-23,5.30,5.86
2007-02-26,5.20,5.81
2007-02-27,5.09,5.72
2007-02-28,5.18,5.76
2007-03-01,5.18,5.77
2007-03-02,5.14,5.73
2007-03-05,5.15,5.76
2007-03-06,5.17,5.77
2007-03-07,5.14,5.75
2007-03-08,5.15,5.74
2007-03-09,5.23,5.82
2007-03-12,5.20,5.79
2007-03-13,5.14,5.74
2007-03-14,5.15,5.77
2007-03-15,5.18,5.79
2007-03-16,5.19,5.80
2007-03-19,5.22,5.82
2007-03-20,5.20,5.80
2007-03-21,5.16,5.77
2007-03-22,5.21,5.83
2007-03-23,5.24,5.86
2007-03-26,5.21,5.83
2007-03-27,5.23,5.85
2007-03-28,5.22,5.86
2007-03-29,5.24,5.87
2007-03-30,5.26,5.89
2007-03-31,5.26,5.91
2007-04-02,5.25,5.89
2007-04-03,5.28,5.92
2007-04-04,5.26,5.91
2007-04-05,5.28,5.93
2007-04-06,.,.
2007-04-09,5.36,6.00
2007-04-10,5.34,5.97
2007-04-11,5.35,5.98
2007-04-12,5.35,5.98
2007-04-13,5.38,6.00
2007-04-16,5.36,5.97
2007-04-17,5.31,5.92
2007-04-18,5.27,5.89
2007-04-19,5.28,5.90
2007-04-20,5.28,5.90
2007-04-23,5.26,5.88
2007-04-24,5.23,5.85
2007-04-25,5.25,5.87
2007-04-26,5.29,5.91
2007-04-27,5.30,5.92
2007-04-30,5.25,5.86
2007-05-01,5.25,5.87
2007-05-02,5.27,5.88
2007-05-03,5.30,5.90
2007-05-04,5.27,5.87
2007-05-07,5.27,5.87
2007-05-08,5.27,5.86
2007-05-09,5.31,5.90
2007-05-10,5.28,5.88
2007-05-11,5.30,5.90
2007-05-14,5.32,5.91
2007-05-15,5.34,5.93
2007-05-16,5.34,5.92
2007-05-17,5.38,5.97
2007-05-18,5.42,6.01
2007-05-21,5.41,6.00
2007-05-22,5.45,6.03
2007-05-23,5.47,6.06
2007-05-24,5.47,6.05
2007-05-25,5.48,6.06
2007-05-28,.,.
2007-05-29,5.51,6.08
2007-05-30,5.52,6.09
2007-05-31,5.54,6.13
2007-06-01,5.60,6.19
2007-06-04,5.58,6.16
2007-06-05,5.62,6.21
2007-06-06,5.61,6.20
2007-06-07,5.71,6.32
2007-06-08,5.72,6.34
2007-06-11,5.73,6.36
2007-06-12,5.82,6.45
2007-06-13,5.79,6.42
2007-06-14,5.81,6.43
2007-06-15,5.76,6.38
2007-06-18,5.74,6.35
2007-06-19,5.69,6.30
2007-06-20,5.72,6.34
2007-06-21,5.74,6.37
2007-06-22,5.71,6.35
2007-06-25,5.65,6.30
2007-06-26,5.69,6.33
2007-06-27,5.65,6.30
2007-06-28,5.71,6.36
2007-06-29,5.63,6.26
2007-06-30,5.65,6.29
2007-07-02,5.62,6.26
2007-07-03,5.67,6.30
2007-07-04,5.67,6.30
2007-07-05,5.76,6.39
2007-07-06,5.80,6.43
2007-07-09,5.77,6.40
2007-07-10,5.67,6.30
2007-07-11,5.70,6.34
2007-07-12,5.74,6.38
2007-07-13,5.73,6.38
